,property_type,tenure,built_year,num_beds,num_baths,size_sqft,total_num_units,lat,lng,subzone,planning_area,price
1042,condo,99-year leasehold,2024.0,1.0,1.0,560,74.0,1.375344,103.7587454,gombak,bukit batok,890400.0
1043,condo,99-year leasehold,2022.0,2.0,2.0,667,735.0,1.3982945,103.87489037114084,fernvale,sengkang,1185300.0
1044,condo,freehold,2022.0,2.0,1.0,635,250.0,1.3443339,103.8786904,upper paya lebar,serangoon,1566600.0
1045,condo,freehold,2024.0,2.0,2.0,700,660.0,1.3306509,103.7670572,sunset way,clementi,1548800.0
1046,hdb,99-year leasehold,2012.0,3.0,2.0,979,1203.0,1.3362759,103.84392304992944,toa payoh central,toa payoh,996400.0
1047,condo,99-year leasehold,2027.0,2.0,1.0,657,158.0,1.3252767,103.9326308,bedok north,bedok,1365000.0
1049,hdb,99-year leasehold,2004.0,3.0,2.0,1184,109.0,1.3949801,103.9107893,punggol field,punggol,577500.0
1050,hdb,99-year leasehold,2015.0,3.0,2.0,1206,600.0,1.4231191,103.8465415,yishun east,yishun,693000.0
1051,condo,freehold,2024.0,3.0,2.0,1109,200.0,1.2963944,103.89101386970906,mountbatten,marine parade,3034500.0
1052,condo,99-year leasehold,2023.0,2.0,1.0,700,774.0,1.28301625,103.83988698554164,pearl's hill,outram,2084200.0
1053,condo,freehold,2021.0,3.0,3.0,990,285.0,1.330403,103.7949393,holland road,bukit timah,2917700.0
1054,condo,freehold,2016.0,2.0,1.0,409,134.0,1.3187729,103.82814527509038,nassim,tanglin,1165500.0
1055,condo,99-year leasehold,2000.0,3.0,3.0,1281,509.0,1.2896071,103.84086619717208,robertson quay,singapore river,2205000.0
1056,condo,freehold,2025.0,2.0,2.0,646,34.0,1.3136277,103.8831086,aljunied,geylang,1050000.0
1057,condo,freehold,2025.0,3.0,3.0,1281,230.0,1.31730585,103.83260746060152,nassim,tanglin,3570000.0
1058,hdb,99-year leasehold,2002.0,4.0,2.0,1378,375.360850381067,1.3870525,103.7722878,fajar,bukit panjang,682500.0
1059,condo,freehold,2023.0,2.0,2.0,732,85.0,1.3120762,103.8040548,tyersall,tanglin,2071600.0
1060,executive condo,99-year leasehold,2016.0,3.0,3.0,1098,378.0,1.3994746500000002,103.91255569721956,waterway east,punggol,1449000.0
1061,condo,99-year leasehold,2022.0,1.0,1.0,420,1399.0,1.3178829,103.90317670322858,geylang east,geylang,912200.0
1062,condo,99-year leasehold,2023.0,2.0,2.0,818,455.0,1.3027702,103.8694351,tanjong rhu,kallang,2724200.0
1063,condo,freehold,2023.0,2.0,2.0,807,45.0,1.2937092,103.8226002,chatsworth,tanglin,2345700.0
1065,condo,99-year leasehold,2025.0,2.0,1.0,800,296.0,1.3116278,103.79388546155636,holland drive,queenstown,2184000.0
1066,bungalow,freehold,1992.0,5.0,5.0,5800,375.360850381067,1.2842353000000002,103.8514848001715,raffles place,downtown core,23625000.0
1067,condo,99-year leasehold,2017.0,5.0,4.0,1701,463.0,1.3802812,103.9438781,pasir ris west,pasir ris,2677500.0
1068,condo,freehold,2022.0,2.0,2.0,743,52.0,1.3157947,103.8320962933791,nassim,tanglin,2572500.0
1069,executive condo,99-year leasehold,2016.0,4.0,4.0,1303,378.0,1.3994746500000002,103.91255569721956,waterway east,punggol,1764000.0
1070,hdb,99-year leasehold,2016.0,3.0,2.0,990,375.360850381067,1.4081525,103.8988746,punggol town centre,punggol,656200.0
1071,bungalow,99-year leasehold,2010.0,6.0,6.0,11500,375.360850381067,1.2481118,103.8406065,sentosa,southern islands,26775000.0
1072,hdb,99-year leasehold,1969.0,2.0,1.0,603,375.360850381067,1.308416,103.88739410787927,aljunied,geylang,375900.0
1073,corner terrace,freehold,1999.0978260869565,3.0,2.0,1700,375.360850381067,1.3602446499999998,103.86511076372146,serangoon garden,serangoon,4515000.0
1074,condo,freehold,2009.0,2.0,2.0,990,275.0,1.292384,103.824098,chatsworth,tanglin,2394000.0
1075,condo,freehold,2023.0,1.0,1.0,463,340.0,1.3159611,103.836848,moulmein,novena,1315600.0
1076,townhouse,99-year leasehold,2015.0,4.0,5.0,5317,361.0,1.3654375,103.8296749,upper thomson,bishan,5040000.0
1077,condo,freehold,2023.0,2.0,1.0,646,85.0,1.3120762,103.8040548,tyersall,tanglin,1800800.0
1079,condo,freehold,2023.0,1.0,1.0,549,45.0,1.2937092,103.8226002,chatsworth,tanglin,1561400.0
1080,terraced house,99-year leasehold,1996.0,5.0,3.0,2926,37.0,1.3183444,103.94836919754152,bedok south,bedok,2520000.0
1081,terraced house,freehold,1993.0,5.0,4.0,2800,30.0,1.3691736,103.7685202,dairy farm,bukit panjang,4074000.0
1082,condo,99-year leasehold,2024.0,2.0,2.0,764,522.0,1.29773195,103.8559134735316,bugis,downtown core,2450700.0
1083,bungalow,freehold,2005.1052631578948,6.0,7.0,11563,375.360850381067,1.3376913,103.7860849,swiss club,bukit timah,15624000.0
1084,cluster house,99-year leasehold,2022.0,6.0,6.0,5683,53.0,1.36703,103.88996647282468,hougang central,hougang,4776400.0
1085,condo,99-year leasehold,2026.0,2.0,1.0,678,448.0,1.44002835,103.82774103667388,sembawang springs,sembawang,1050000.0
1086,corner terrace,freehold,1995.1617647058824,8.0,9.0,5626,375.360850381067,1.3247865,103.908519,kembangan,bedok,5775000.0
1087,corner terrace,freehold,2005.0,5.0,5.0,2982,375.360850381067,1.3189171,103.7871854,holland road,bukit timah,8399000.0
1088,hdb,99-year leasehold,1972.0,2.0,1.0,721,375.360850381067,1.333942,103.8480824,toa payoh central,toa payoh,459900.0
1089,condo,freehold,2017.0,6.0,6.0,5177,109.0,1.2996723,103.8980859838128,marine parade,marine parade,8355100.0
1090,hdb,99-year leasehold,1982.0,2.0,2.0,721,375.360850381067,1.2773807,103.8318569,kampong tiong bahru,bukit merah,407400.0
1091,semi-detached house,freehold,1998.0,5.0,6.0,5849,375.360850381067,1.3233131,103.84296299566329,balestier,novena,9114000.0
1092,executive condo,99-year leasehold,2016.0,4.0,2.0,1195,546.0,1.3321733999999998,103.72419457835264,taman jurong,jurong west,1248300.0
1093,hdb,99-year leasehold,1993.0,4.0,2.0,1593,375.360850381067,1.3673518,103.962681735226,pasir ris drive,pasir ris,1248300.0
1094,hdb,99-year leasehold,1975.0,2.0,1.0,818,375.360850381067,1.3045459,103.9150503815288,marine parade,marine parade,493500.0
1095,condo,99-year leasehold,2026.0,3.0,3.0,1109,605.0,1.3859375,103.8344656879244,tagore,ang mo kio,2677500.0
1096,bungalow,99-year leasehold,2010.0,6.0,7.0,11000,375.360850381067,1.2481118,103.8406065,sentosa,southern islands,30450000.0
1097,executive condo,99-year leasehold,2017.0,2.0,2.0,753,638.0,1.445516,103.82705855838422,sembawang springs,sembawang,1050000.0
1098,executive condo,99-year leasehold,2016.0,3.0,2.0,1033,653.0,1.432231,103.79930106701984,woodlands south,woodlands,1207500.0
1099,bungalow,freehold,2023.121794871795,6.0,7.0,4094,375.360850381067,1.4405369,103.82607667170107,sembawang springs,sembawang,6090000.0
1100,semi-detached house,freehold,2025.0,6.0,6.0,4716,6.0,1.30062,103.892783,mountbatten,marine parade,8059800.0
1101,hdb,99-year leasehold,1992.5897435897436,3.0,2.0,1001,1480.0,1.27729225,103.80692728729755,telok blangah drive,bukit merah,1049000.0
1102,condo,freehold,2025.0,2.0,2.0,829,90.0,1.2937442,103.8466319,fort canning,museum,2095200.0
1103,hdb,99-year leasehold,2002.0,3.0,2.0,1022,375.360850381067,1.3910368,103.88573006151556,anchorvale,sengkang,572200.0
1104,condo,99-year leasehold,2020.0,2.0,1.0,603,752.0,1.3084724,103.83637882843551,cairnhill,newton,987000.0
1105,terraced house,freehold,1992.0,5.0,4.0,1738,375.360850381067,1.3369447,103.9529995,simei,tampines,3990000.0
1106,condo,99-year leasehold,2023.0,2.0,2.0,689,1074.0,1.304855,103.77377633404797,dover,queenstown,1621000.0
1107,condo,99-year leasehold,2018.0,3.0,3.0,1593,1042.0,1.2761249,103.8532534,central subzone,downtown core,4725000.0
1108,condo,freehold,2023.0,4.0,3.0,1270,85.0,1.3120762,103.8040548,tyersall,tanglin,3570000.0
1109,condo,freehold,2026.0,1.0,1.0,592,137.0,1.3159484,103.8575892,lavender,kallang,1272600.0
1110,executive condo,99-year leasehold,2027.0,4.0,2.0,1389,616.0,1.4349279,103.8452818,yishun east,yishun,1928800.0
1111,semi-detached house,freehold,2025.0,6.0,4.0,5537,6.0,1.30062,103.892783,mountbatten,marine parade,9076200.0
1112,corner terrace,freehold,1992.0,5.0,5.0,2755,112.0,1.3591051,103.969055,flora drive,pasir ris,4725000.0
1113,terraced house,99-year leasehold,2011.904761904762,4.0,4.0,3035,78.0,1.3874898,103.8570817,yio chu kang east,ang mo kio,4081500.0
1114,condo,freehold,2023.0,4.0,2.0,1464,45.0,1.2937092,103.8226002,chatsworth,tanglin,4704000.0
1115,condo,freehold,2022.0,3.0,2.0,1109,115.0,1.3165593,103.8298930092109,nassim,tanglin,3305400.0
1116,condo,freehold,1999.0,3.0,3.0,1141,130.0,1.2933505,103.83887866386893,institution hill,river valley,2625000.0
1117,condo,99-year leasehold,2025.0,4.0,3.0,1281,640.0,1.3080119,103.76731822674004,clementi woods,clementi,2427600.0
1118,bungalow,99-year leasehold,1998.0,5.0,7.0,4040,123.0,1.28553725,103.81714306069205,redhill,bukit merah,4725000.0
1119,condo,99-year leasehold,2024.0,3.0,2.0,1302,298.0,1.29988105,103.88811428633838,mountbatten,marine parade,3138400.0
1120,terraced house,99-year leasehold,2013.0,4.0,3.0,3046,119.0,1.38772155,103.85533387252032,yio chu kang east,ang mo kio,2767100.0
1121,condo,99-year leasehold,2026.0,1.0,1.0,441,351.0,1.2739587,103.84363531310518,anson,downtown core,1415400.0
1123,hdb,99-year leasehold,1995.0,4.0,2.0,1787,375.360850381067,1.438805,103.78037097287005,woodlands west,woodlands,997500.0
1124,condo,freehold,2001.0,2.0,3.0,2885,330.0,1.3101001,103.82979304711488,orange grove,newton,15750000.0
1125,hdb,99-year leasehold,2000.0,4.0,2.0,1517,60.0,1.4027297,103.7502941,yew tee,choa chu kang,672000.0
1126,condo,99-year leasehold,2022.0,1.0,1.0,474,476.0,1.3271094,103.7964042,coronation road,bukit timah,1126600.0
1127,condo,freehold,2022.0,4.0,4.0,1496,52.0,1.3157947,103.8320962933791,nassim,tanglin,4688200.0
1128,hdb executive,99-year leasehold,1995.0,6.0,3.0,1636,55.0,1.3923914,103.7443826,choa chu kang north,choa chu kang,798000.0
1129,cluster house,99-year leasehold,2024.0,4.0,4.0,2110,1472.0,1.3711071,103.90006004104973,kangkar,hougang,3465000.0
1130,condo,99-year leasehold,2027.0,2.0,2.0,689,158.0,1.3252767,103.9326308,bedok north,bedok,1260000.0
1131,condo,freehold,2025.0,4.0,5.0,2056,138.0,1.3101838,103.8359137,newton circus,newton,7660800.0
1132,hdb,99-year leasehold,1984.0,3.0,2.0,1410,375.360850381067,1.35249535,103.88374515,lorong ah soo,hougang,677200.0
1133,semi-detached house,freehold,2014.0,6.0,6.0,9160,375.360850381067,1.3015051,103.8249536,one tree hill,river valley,13881000.0
1134,condo,99-year leasehold,2024.0,3.0,2.0,958,171.0,1.3533168,103.7896255,central water catchment,central water catchment,1890000.0
1135,condo,99-year leasehold,2026.0,1.0,1.0,409,605.0,1.3859375,103.8344656879244,tagore,ang mo kio,829500.0
1136,condo,99-year leasehold,2023.0,4.0,4.0,3068,119.0,1.3031066,103.83293253725688,boulevard,orchard,7344800.0
1137,condo,99-year leasehold,2023.0,5.0,4.0,1711,1468.0,1.3171376,103.75970123067364,faber,clementi,3286500.0
1138,hdb,99-year leasehold,1978.0,3.0,2.0,990,160.0,1.32753285,103.93808269444034,bedok north,bedok,522900.0
1139,hdb,99-year leasehold,1975.0,3.0,1.0,699,375.360850381067,1.3037963,103.91643328717646,marine parade,marine parade,459900.0
1140,hdb,99-year leasehold,2016.0,3.0,2.0,1001,1150.0,1.3918698,103.8790573,fernvale,sengkang,577500.0
1141,condo,99-year leasehold,2023.0,5.0,4.0,1615,1862.0,1.28715825,103.79213778715592,kent ridge,queenstown,2990400.0
1142,condo,99-year leasehold,2023.0,1.0,1.0,560,455.0,1.3027702,103.8694351,tanjong rhu,kallang,1724100.0
1143,condo,freehold,2015.0,2.0,1.0,1087,275.0,1.31203935,103.88619151183636,aljunied,geylang,1627500.0
1144,semi-detached house,freehold,2012.5151515151515,4.0,3.0,2370,375.360850381067,1.3577558,103.759279,hillview,bukit batok,4935000.0
1145,condo,freehold,2021.2354166666667,1.0,1.0,549,120.0,1.3129422000000002,103.84155234754564,moulmein,novena,1522400.0
1146,hdb,99-year leasehold,1985.0,2.0,2.0,785,375.360850381067,1.35028495,103.759153745026,bukit batok east,bukit batok,399000.0
1147,bungalow,freehold,1984.0,5.0,5.0,10000,375.360850381067,1.4198561,103.71931356793988,lim chu kang,lim chu kang,28233300.0
1148,terraced house,freehold,2023.0,5.0,6.0,3455,81.0,1.3784672,103.8650612,seletar hills,serangoon,4200000.0
1149,bungalow,freehold,2003.0,4.0,4.0,4000,375.360850381067,1.3258128,103.838797,malcolm,novena,16800000.0
1150,hdb,99-year leasehold,2000.0,3.0,2.0,1022,116.0,1.3451012,103.70575805469431,jurong west central,jurong west,585900.0
1151,executive condo,99-year leasehold,2016.0,3.0,3.0,1087,700.0,1.38844105,103.8720501136976,fernvale,sengkang,1417500.0
1152,hdb,99-year leasehold,1998.0,3.0,2.0,1313,80.0,1.3784956,103.7667077,jelebu,bukit panjang,618400.0
1153,condo,freehold,2022.0,2.0,1.0,635,250.0,1.3443339,103.8786904,upper paya lebar,serangoon,1545600.0
1154,condo,freehold,2026.0,4.0,3.0,1281,25.0,1.3154751,103.8411131,moulmein,novena,3596200.0
1155,semi-detached house,freehold,1985.7777777777778,6.0,7.0,6300,375.360850381067,1.316664,103.7868337,ulu pandan,bukit timah,12474000.0
1156,condo,99-year leasehold,2026.0,1.0,1.0,441,351.0,1.2739587,103.84363531310518,anson,downtown core,1376600.0
1157,hdb executive,99-year leasehold,1988.0,4.0,2.0,1560,60.0,1.4277126,103.84569596407226,yishun east,yishun,819000.0
1158,condo,freehold,2025.0,3.0,2.0,893,34.0,1.3136277,103.8831086,aljunied,geylang,1664000.0
1159,terraced house,99-year leasehold,2010.0,4.0,4.0,3500,8.0,1.246413,103.8423714,sentosa,southern islands,7917000.0
1160,condo,99-year leasehold,2026.0,3.0,3.0,1356,407.0,1.3113226999999998,103.85247580094573,kampong java,kallang,2641800.0
1161,condo,99-year leasehold,2026.0,2.0,2.0,807,351.0,1.2739587,103.84363531310518,anson,downtown core,2073800.0
1162,executive condo,99-year leasehold,2013.0,2.0,2.0,775,680.0,1.40106215,103.90447498542292,matilda,punggol,1018500.0
1163,hdb,99-year leasehold,1984.0,2.0,2.0,721,95.0,1.4330258,103.8321353,yishun west,yishun,367500.0
1164,hdb,99-year leasehold,2014.0,3.0,2.0,1000,375.360850381067,1.4029169,103.9000407488618,matilda,punggol,666800.0
1165,bungalow,freehold,2014.0,6.0,9.0,12018,375.360850381067,1.3175457,103.904717,geylang east,geylang,12915000.0
1166,condo,freehold,2025.0,3.0,2.0,1141,376.0,1.29410615,103.83673469533848,institution hill,river valley,3444000.0
1167,condo,freehold,2025.0,2.0,2.0,700,319.0,1.310429,103.80282102340084,leedon park,bukit timah,2041200.0
1168,hdb,99-year leasehold,2015.0,3.0,2.0,969,375.360850381067,1.40767045,103.9108003944596,waterway east,punggol,629000.0
1169,hdb,99-year leasehold,2001.0,3.0,2.0,1301,375.360850381067,1.2892428,103.81554423916955,alexandra hill,bukit merah,892500.0
1171,hdb,99-year leasehold,1999.0,3.0,2.0,1076,121.0,1.4471134,103.8205092,sembawang central,sembawang,630000.0
1172,condo,99-year leasehold,2023.0,2.0,1.0,689,1468.0,1.3171376,103.75970123067364,faber,clementi,1499400.0
1173,condo,99-year leasehold,2026.0,1.0,1.0,452,351.0,1.2739587,103.84363531310518,anson,downtown core,1418600.0
1174,executive condo,99-year leasehold,2016.0,5.0,4.0,1528,506.0,1.4438513,103.81992431665668,sembawang central,sembawang,1869000.0
1175,hdb,99-year leasehold,2017.0,1.0,1.0,506,375.360850381067,1.44634225,103.82942938870193,sembawang east,sembawang,366400.0
1176,condo,99-year leasehold,2026.0,2.0,1.0,700,351.0,1.2739587,103.84363531310518,anson,downtown core,1800800.0
1177,apartment,freehold,2026.0,1.0,1.0,592,137.0,1.3159484,103.8575892,lavender,kallang,1209600.0
1178,terraced house,freehold,2006.0,4.0,4.0,3528,77.0,1.33288635,103.87806987695949,sennett,toa payoh,5250000.0
1179,hdb executive,99-year leasehold,1998.0,4.0,2.0,1550,375.360850381067,1.3390389,103.74453350480412,toh guan,jurong east,942900.0
1180,hdb,99-year leasehold,1977.0,2.0,2.0,635,167.0,1.2762681,103.8430291440643,chinatown,outram,554400.0
1181,condo,freehold,2024.0,3.0,4.0,1399,200.0,1.2963944,103.89101386970906,mountbatten,marine parade,4189500.0
1182,condo,freehold,2023.0,3.0,4.0,1281,340.0,1.3159611,103.836848,moulmein,novena,3675000.0
1183,condo,freehold,2021.0,2.0,2.0,818,285.0,1.330403,103.7949393,holland road,bukit timah,2447900.0
1184,hdb,99-year leasehold,1989.0,4.0,2.0,1313,110.0,1.38063635,103.748371133238,choa chu kang central,choa chu kang,672000.0
1185,hdb,99-year leasehold,1988.0,3.0,2.0,1108,96.0,1.3418413,103.68766827155125,yunnan,jurong west,472500.0
1186,condo,freehold,2022.0,3.0,2.0,915,115.0,1.3165593,103.8298930092109,nassim,tanglin,2809700.0
1187,condo,freehold,2011.0,3.0,3.0,1184,536.0,1.33303995,103.7870600435402,holland road,bukit timah,2625000.0
1188,hdb,99-year leasehold,1984.0,3.0,2.0,1151,116.0,1.3181764,103.896901593693,geylang east,geylang,819000.0
1189,semi-detached house,freehold,2015.0,5.0,5.0,3950,6.0,1.3562233,103.8322278,upper thomson,bishan,4410000.0
1190,condo,freehold,2022.0,2.0,2.0,1313,31.0,1.315398,103.9065121,frankel,bedok,1978200.0
1192,terraced house,freehold,2008.0,5.0,5.0,5000,375.360850381067,1.3563844,103.887314,lorong ah soo,hougang,7233300.0
1193,hdb,99-year leasehold,1967.0,1.0,1.0,452,375.360850381067,1.33702815,103.8503707,boon teck,toa payoh,278200.0
1194,semi-detached house,freehold,2014.0,5.0,7.0,6631,375.360850381067,1.3171635,103.9166442,frankel,bedok,9324000.0
1195,bungalow,99-year leasehold,2016.0,5.0,6.0,6598,19.0,1.2411094,103.83616118799549,sentosa,southern islands,14805000.0
1196,condo,99-year leasehold,1997.0,2.0,2.0,908,276.0,1.3173789500000002,103.76120252242308,faber,clementi,1260000.0
1197,condo,freehold,2023.0,2.0,2.0,721,276.0,1.3578738,103.9695628,changi west,changi,1187600.0
1198,condo,99-year leasehold,2011.0,4.0,6.0,3272,124.0,1.24362925,103.83924720048756,sentosa,southern islands,6252800.0
1199,executive condo,99-year leasehold,2017.0,4.0,3.0,1249,561.0,1.43200585,103.80079993797892,woodlands south,woodlands,1469800.0
1200,executive condo,99-year leasehold,2017.0,4.0,3.0,1410,517.0,1.39704825,103.89393329199906,anchorvale,sengkang,1854300.0
1201,terraced house,freehold,1999.0,7.0,5.0,3500,9.0,1.3107158,103.8991671,geylang east,geylang,5250000.0
1202,hdb,99-year leasehold,1998.0,3.0,4.0,1542,86.0,1.4470003,103.82208021135132,sembawang central,sembawang,1248300.0
1203,condo,99-year leasehold,2023.0,3.0,2.0,1173,455.0,1.3027702,103.8694351,tanjong rhu,kallang,3305400.0
1204,condo,freehold,2024.0,1.0,1.0,484,200.0,1.2963944,103.89101386970906,mountbatten,marine parade,1155000.0
1205,condo,freehold,2021.2354166666667,3.0,3.0,1281,120.0,1.3129422000000002,103.84155234754564,moulmein,novena,3391500.0
1206,condo,freehold,2016.0,1.0,1.0,527,142.0,1.3369874,103.7796936,holland road,bukit timah,1102500.0
1207,condo,99-year leasehold,2024.0,3.0,2.0,904,558.0,1.29841635,103.85717773862802,bugis,downtown core,2507400.0
1208,apartment,99-year leasehold,2026.0,2.0,1.0,689,605.0,1.3859375,103.8344656879244,tagore,ang mo kio,1522500.0
1209,cluster house,99-year leasehold,2011.904761904762,4.0,4.0,3035,78.0,1.3874898,103.8570817,yio chu kang east,ang mo kio,3954000.0
1210,condo,freehold,2022.0,4.0,4.0,1496,52.0,1.3157947,103.8320962933791,nassim,tanglin,4689100.0
1211,condo,99-year leasehold,2023.0,3.0,3.0,1249,455.0,1.3027702,103.8694351,tanjong rhu,kallang,3654000.0
1212,condo,freehold,2023.0,1.0,1.0,474,638.0,1.3123637,103.80327091227252,farrer court,bukit timah,1445800.0
1213,hdb,99-year leasehold,1999.0,3.0,2.0,1518,375.360850381067,1.3827966,103.90137108719114,rivervale,sengkang,900900.0
1214,condo,99-year leasehold,2023.0,1.0,1.0,527,1074.0,1.304855,103.77377633404797,dover,queenstown,1408000.0
1215,hdb,99-year leasehold,2017.0,1.0,1.0,506,888.0,1.4296956,103.7968541742233,woodlands south,woodlands,367500.0
1216,executive condo,99-year leasehold,2016.0,4.0,3.0,1550,653.0,1.432231,103.79930106701984,woodlands south,woodlands,1564500.0
1217,condo,99-year leasehold,2026.0,4.0,3.0,1302,448.0,1.44002835,103.82774103667388,sembawang springs,sembawang,1887900.0
1218,hdb,99-year leasehold,2017.0,1.0,1.0,506,375.360850381067,1.44634225,103.82942938870193,sembawang east,sembawang,378000.0
1219,condo,99-year leasehold,2023.0,2.0,2.0,818,455.0,1.3027702,103.8694351,tanjong rhu,kallang,2528400.0
1220,hdb,99-year leasehold,1985.0,3.0,2.0,1302,111.0,1.43467495,103.83732413205846,northland,yishun,629000.0
1221,hdb,99-year leasehold,2001.0,3.0,2.0,1184,375.360850381067,1.3879626,103.8934091106982,sengkang town centre,sengkang,622500.0
1222,hdb,99-year leasehold,1983.0,2.0,2.0,699,375.360850381067,1.2835592999999998,103.82081495560166,henderson hill,bukit merah,441000.0
1223,condo,freehold,2024.0,2.0,1.0,678,162.0,1.3260123,103.8500626,balestier,novena,1415400.0
1224,hdb,99-year leasehold,1998.0,3.0,2.0,1302,375.360850381067,1.3384817999999998,103.85707579485924,pei chun,toa payoh,787500.0
1225,hdb,99-year leasehold,2005.0,3.0,2.0,1184,375.360850381067,1.3997906,103.91553604562624,waterway east,punggol,603800.0
1226,semi-detached house,freehold,1995.1617647058824,5.0,7.0,5489,375.360850381067,1.3197815,103.908881,kembangan,bedok,5964000.0
1227,condo,freehold,2023.0,3.0,3.0,1356,638.0,1.3123637,103.80327091227252,farrer court,bukit timah,4342800.0
1228,condo,99-year leasehold,2022.0,3.0,4.0,1119,476.0,1.3271094,103.7964042,coronation road,bukit timah,2940300.0
1229,semi-detached house,freehold,1977.0,4.0,4.0,5990,375.360850381067,1.3862854,103.9376076,pasir ris wafer fab park,pasir ris,6510000.0
1230,corner terrace,freehold,2001.0,6.0,6.0,3300,78.0,1.3230833,103.7712763,sunset way,clementi,5775000.0
1231,corner terrace,99-year leasehold,1996.0,5.0,4.0,3100,423.0,1.364307,103.9666919,flora drive,pasir ris,2625000.0
1232,hdb,99-year leasehold,1979.0,2.0,2.0,720,375.360850381067,1.2771857,103.832998,singapore general hospital,bukit merah,399000.0
1233,condo,99-year leasehold,2018.0,3.0,2.0,850,1165.0,1.3745655499999998,103.90339457083743,kangkar,hougang,1239000.0
1234,semi-detached house,freehold,2011.0,6.0,6.0,5000,375.360850381067,1.34602025,103.86719776832936,lorong chuan,serangoon,8925000.0
1235,corner terrace,freehold,1998.842105263158,4.0,2.0,2300,375.360850381067,1.28369775,103.84333321095365,chinatown,outram,7875000.0
1236,apartment,freehold,2020.0,2.0,2.0,710,84.0,1.3273381,103.8515334,balestier,novena,1333500.0
1237,condo,freehold,2023.0,4.0,5.0,1744,39.0,1.3058321,103.8382586,cairnhill,newton,5754000.0
1238,hdb,99-year leasehold,1992.0,3.0,2.0,1324,375.360850381067,1.3685808499999998,103.94982514395122,pasir ris central,pasir ris,627900.0
1239,bungalow,freehold,1985.0,5.0,4.0,4200,489.0,1.32951085,103.76599463220242,sunset way,clementi,13440000.0
1240,condo,freehold,2022.0,3.0,2.0,915,250.0,1.3443339,103.8786904,upper paya lebar,serangoon,1958900.0
1241,condo,99-year leasehold,2013.0,4.0,4.0,2174,360.0,1.30041555,103.86167907105472,nicoll,downtown core,5821500.0
1242,hdb,99-year leasehold,2017.0,3.0,2.0,1001,420.0,1.4470258500000002,103.80338194507084,woodlands east,woodlands,546000.0
1243,condo,99-year leasehold,2021.0,3.0,2.0,979,805.0,1.3386555,103.86956677011077,woodleigh,toa payoh,2257500.0
1244,corner terrace,99-year leasehold,2007.0,4.0,6.0,5000,8.0,1.2487474,103.8401255,sentosa,southern islands,10500000.0
1245,apartment,99-year leasehold,1981.0,3.0,3.0,1701,918.0,1.3420378999999998,103.84094257810172,toa payoh west,toa payoh,1995000.0
1246,hdb,99-year leasehold,2017.0,3.0,2.0,1001,888.0,1.4296956,103.7968541742233,woodlands south,woodlands,567000.0
1247,condo,freehold,2023.0,4.0,4.0,1389,340.0,1.3159611,103.836848,moulmein,novena,3622500.0
1248,hdb,99-year leasehold,1985.0,2.0,2.0,753,375.360850381067,1.3549663,103.8679237,serangoon central,serangoon,483000.0
1249,condo,99-year leasehold,2025.0,3.0,2.0,1098,296.0,1.3116278,103.79388546155636,holland drive,queenstown,2881500.0
1250,terraced house,99-year leasehold,2013.0,6.0,6.0,4008,93.0,1.3521382,103.6977601080126,yunnan,jurong west,2646000.0
1251,hdb executive,99-year leasehold,1992.0,3.0,3.0,1603,81.0,1.3564943,103.84806592328592,marymount,bishan,1260000.0
1252,semi-detached house,freehold,2010.0,6.0,6.0,7000,375.360850381067,1.3324923,103.8000035,hillcrest,bukit timah,12534900.0
1253,bungalow,99-year leasehold,2011.0,5.0,8.0,8073,18.0,1.2418323,103.8377594550829,sentosa,southern islands,17640000.0
1254,condo,freehold,2026.0,3.0,2.0,1001,25.0,1.3154751,103.8411131,moulmein,novena,2832900.0
1255,hdb,99-year leasehold,2003.0,3.0,2.0,1184,86.0,1.4034183,103.8964235,matilda,punggol,643600.0
1256,executive condo,99-year leasehold,2023.0,3.0,2.0,926,548.0,1.39734855,103.89235330638869,anchorvale,sengkang,1207500.0
1257,condo,99-year leasehold,2003.0,3.0,3.0,1228,906.0,1.3114588,103.9394844365832,bayshore,bedok,2205000.0
1258,corner terrace,freehold,1999.0978260869565,5.0,5.0,5000,375.360850381067,1.3602446499999998,103.86511076372146,serangoon garden,serangoon,6174000.0
1259,condo,99-year leasehold,2027.0,3.0,2.0,1087,158.0,1.3252767,103.9326308,bedok north,bedok,1869000.0
1260,hdb,99-year leasehold,1983.0,2.0,2.0,732,173.0,1.3049989000000002,103.7635326,clementi west,clementi,399000.0
1261,bungalow,freehold,2014.0,6.0,8.0,8100,375.360850381067,1.31992,103.9162738,frankel,bedok,15633300.0
1262,semi-detached house,freehold,1998.0,6.0,8.0,5661,375.360850381067,1.3233131,103.84296299566329,balestier,novena,8694000.0
1263,hdb,99-year leasehold,1985.0,4.0,3.0,1571,71.0,1.43790205,103.83695990417766,northland,yishun,892500.0
1264,hdb,99-year leasehold,1996.0,3.0,2.0,1173,375.360850381067,1.2859801,103.8230173,henderson hill,bukit merah,839000.0
1265,condo,freehold,2025.0,3.0,3.0,1141,376.0,1.29410615,103.83673469533848,institution hill,river valley,3439800.0
1266,condo,99-year leasehold,2010.0,2.0,2.0,1227,428.0,1.2796949,103.85520734773723,central subzone,downtown core,3990000.0
1267,condo,freehold,2010.0,1.0,1.0,624,338.0,1.30583435,103.83293325375892,boulevard,orchard,2545400.0
